SI_ID;Date;Starttime;Endtime;Gear;Gear_Multiplier;Sampler_ID;Depth;Boat_Shore;Waterbody;Capture_Latitude;Capture_Longitude;Release_Latitude;Release_Longitude;GPSpoint1;GPSpoint2;Temperature_C;TempSampleTime;Salinity_PSU;Conductivity_myS_cm;Oxygenlevel_perc;Oxygenlevel_mgL;Visibility_cm;Vegetation;Notes;Lure_Type;Lure_Length;GSPdevice;NetHours;Site;Bites;Follower;Lure_Color;Wind;pH;Transect_Length_m;Schongebietsvergleich;Paired_Design;Comparison_Area_Name;Captured_Pike_No;EnterDate;Lure_Length_mm;Lure_ID;Zone;GPS_Track;Net_ID;Safe_Bites
21;2019-07-09;NA;NA;A;1;NA;M;Shore;Ryck;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
22;2019-06-12;17:45:00;19:15:00;A;1;2;S;Shore;BEZ;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
23;2019-06-15;05:45:00;09:10:00;A;1;2;S;Shore;SB;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
24;2019-06-16;05:45:00;12:50:00;A;1;2;S;Shore;BEZ;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
25;2019-06-22;17:00:00;19:15:00;A;1;2;S;Shore;SB;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
26;2019-06-23;05:00:00;11:15:00;A;1;2;S;Shore;BEZ;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
27;2019-07-10;NA;NA;E;1;1;S;Boat;Barthe;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
28;2019-10-29;12:05:00;13:21:00;E;1;1;S;Boat;Peene;53.8928567;13.0276696;53.8928567;13.0276696;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
29;2019-10-31;10:06:00;10:15:00;E;1;1;S;Boat;Barthe;54.355252;12.685184;54.3581116;12.6810071;NA;NA;4.1;NA;NA;1930;NA;NA;NA;1;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
30;2019-10-31;10:34:00;10:40:00;E;1;1;S;Boat;Barthe;54.339859;12.684337;54.34091;12.682172;NA;NA;6.2;NA;NA;1658;NA;NA;NA;1;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
31;2019-10-31;10:45:00;11:08:00;E;1;1;S;Boat;Barthe;54.334859;12.686858;54.339859;12.684337;NA;NA;6.7;NA;NA;1621;NA;NA;NA;1;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
32;2019-10-31;11:35:00;12:30:00;E;1;1;NA;Boat;Barthe;54.311575;12.704307;54.322098;12.696531;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
35;2019-07-05;13:00:00;17:00:00;A;3;5;M;Boat;P;NA;NA;NA;NA;NA;NA;17;NA;NA;NA;NA;NA;NA;0;3;G;M;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
36;2019-07-05;17:00:00;21:30:00;A;3;5;M;Boat;P;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;3;G;K;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
37;2019-07-06;06:30:00;21:30:00;A;3;5;M;Boat;P;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;3;G;M;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
38;2019-07-07;06:30:00;13:00:00;A;3;5;M;Boat;P;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;3;G;M;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
39;2019-07-08;09:00:00;12:00:00;A;2;5;M;Boat;P;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;2;G;M;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
40;2019-07-08;13:00:00;19:00:00;A;1;5;M;Boat;P;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;1;G;M;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
41;2019-07-09;08:00:00;12:00:00;A;3;5;M;Boat;P;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;3;G;M;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
42;2019-07-10;08:00:00;16:00:00;A;3;5;M;Boat;P;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;3;G;M;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
43;2019-07-11;08:00:00;12:00:00;A;3;5;T;Boat;P;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;3;G;M;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
44;2019-07-12;08:00:00;12:00:00;A;3;5;NA;Boat;P;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;3;G;M;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
45;2019-07-17;08:00:00;12:00:00;A;3;5;NA;Boat;P;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;3;G;M;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
46;2019-07-20;08:00:00;16:00:00;A;3;5;NA;Boat;P;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;3;G;M;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
47;2019-07-21;08:00:00;12:00:00;A;3;5;NA;Boat;P;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;3;G;M;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
48;2019-07-22;08:00:00;16:00:00;A;3;5;NA;Boat;P;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;3;G;M;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
49;2019-07-23;08:00:00;16:00:00;A;3;5;T;Boat;P;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;3;G;M;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
50;2019-07-24;08:00:00;14:00:00;A;3;5;T;Boat;P;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;3;G;M;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
51;2019-07-25;08:00:00;12:00:00;A;3;5;T;Boat;P;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;3;G;M;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
52;2019-07-26;08:00:00;12:00:00;A;3;5;T;Boat;P;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;3;G;M;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
53;2019-07-27;08:00:00;14:00:00;A;4;5;M;Boat;GB;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;4;G;M;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
54;2019-07-28;08:00:00;17:00:00;A;2;5;M;Boat;P;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;2;A;K;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
55;2019-07-29;08:00:00;12:00:00;A;3;5;T;Boat;P;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;3;G;M;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
56;2019-07-30;08:00:00;12:00:00;A;3;5;T;Boat;P;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;3;G;M;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
57;2019-07-31;08:00:00;12:00:00;A;3;5;M;Boat;P;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;3;G;M;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
58;2019-08-01;08:00:00;12:00:00;A;4;5;M;Boat;P;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;4;G;M;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
59;2019-08-01;08:00:00;18:00:00;A;2;5;M;Boat;P;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;2;G;M;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
60;2019-08-03;08:00:00;12:00:00;A;3;5;NA;Boat;P;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;3;G;M;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
61;2019-08-04;08:00:00;12:00:00;A;4;5;NA;Boat;P;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;4;G;M;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
62;2019-08-05;08:00:00;20:00:00;A;2;5;T;Boat;P;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;2;G;M;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
63;2019-08-10;08:00:00;16:00:00;A;4;5;T;Boat;P;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;4;G;M;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
64;2019-08-12;08:00:00;16:00:00;A;4;5;T;Boat;P;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;4;G;M;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
65;2019-08-13;09:00:00;13:00:00;A;4;5;T;Boat;P;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;4;G;M;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
66;2019-08-17;08:00:00;16:00:00;A;4;5;T;Boat;P;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;4;G;M;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
67;2019-08-19;08:00:00;16:00:00;A;4;5;T;Boat;P;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;4;G;M;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
68;2019-08-20;08:00:00;16:00:00;A;4;5;T;Boat;P;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;4;G;M;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
69;2019-08-21;08:00:00;12:00:00;A;4;5;T;Boat;P;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;4;G;M;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
70;2019-08-22;08:00:00;16:00:00;A;4;5;T;Boat;P;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;4;G;M;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
71;2019-08-23;08:00:00;12:00:00;A;3;5;T;Boat;P;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;3;G;M;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
72;2019-08-29;08:00:00;12:00:00;A;4;5;NA;Boat;P;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;4;G;M;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
73;2019-08-30;08:00:00;16:00:00;A;4;5;NA;Boat;PW;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;4;G;M;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
74;2019-08-31;08:00:00;12:00:00;A;4;5;NA;Boat;P;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;4;G;M;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
75;2019-09-04;08:00:00;16:00:00;A;3;5;T;Boat;P;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;3;G;M;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
76;2019-09-05;08:00:00;12:00:00;A;3;5;T;Boat;P;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;3;G;M;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
77;2019-09-06;08:00:00;12:00:00;A;3;5;T;Boat;P;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;3;G;M;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
78;2019-09-07;08:00:00;16:00:00;A;4;5;T;Boat;P;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;4;G;K;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
79;2019-09-12;08:00:00;14:00:00;A;3;5;T;Boat;P;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;3;G;M;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
80;2019-09-13;08:00:00;12:00:00;A;3;5;T;Boat;P;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;3;G;M;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
81;2019-09-14;08:00:00;16:00:00;A;4;5;T;Boat;P;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;4;G;M;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
82;2019-09-15;08:00:00;16:00:00;A;4;5;T;Boat;P;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;4;G;M;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
83;2019-09-19;08:00:00;16:00:00;A;3;5;T;Boat;P;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;3;G;M;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
84;2019-09-20;08:00:00;16:00:00;A;3;5;T;Boat;P;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;3;G;M;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
85;2019-09-21;08:00:00;16:00:00;A;4;5;T;Boat;P;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;4;G;M;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
86;2019-09-22;08:30:00;16:30:00;A;4;5;T;Boat;P;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;4;G;M;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
87;2019-09-25;08:00:00;15:00:00;A;3;5;T;Boat;P;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;3;G;M;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
88;2019-09-26;08:00:00;12:00:00;A;3;5;M;Boat;P;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;3;G;M;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
89;2019-09-27;09:30:00;13:30:00;A;3;5;M;Boat;P;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;3;G;M;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
90;2019-10-02;15:00:00;15:05:00;A;4;40;M;Boat;BAT;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;4;G;G;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
91;2019-10-04;10:00:00;16:00:00;A;4;40;S;Boat;BAT;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;4;A;K;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
92;2019-10-15;08:00:00;16:00:00;A;4;40;S;Boat;BAT;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;4;G;M;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
93;2019-11-02;15:00:00;17:00:00;A;3;40;S;Boat;BAT;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;3;A;M;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
94;2019-11-08;08:00:00;16:00:00;A;3;40;S;Boat;BAT;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;3;A;M;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
95;2019-12-03;08:00:00;15:30:00;A;1;41;S;Boat;BAT;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;1;G;G;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
96;2019-12-04;08:00:00;15:30:00;A;1;41;S;Boat;BAT;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;1;G;G;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
97;2019-12-05;08:00:00;15:30:00;A;1;41;S;Boat;BAT;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;1;G;G;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
